lemma,tag,lemma_length,form_length
შეუძლია,V;ARGNO1S;IND;PRS,7,8
შეუძლია,V;ARGNO2S;IND;PRS,7,8
შეუძლია,V;ARGNO3S;IND;PRS,7,7
შეუძლია,V;ARGNO1P;IND;PRS,7,9
შეუძლია,V;ARGNO2P;IND;PRS,7,9
შეუძლია,V;ARGNO3P;IND;PRS,7,8
შეუძლია,V;ARGNO1S;IND;FUT,7,9
შეუძლია,V;ARGNO2S;IND;FUT,7,9
შეუძლია,V;ARGNO3S;IND;FUT,7,8
შეუძლია,V;ARGNO1P;IND;FUT,7,10
შეუძლია,V;ARGNO2P;IND;FUT,7,10
შეუძლია,V;ARGNO3P;IND;FUT,7,9
შეუძლია,V;ARGNO1S;COND,7,11
შეუძლია,V;ARGNO2S;COND,7,11
შეუძლია,V;ARGNO3S;COND,7,10
შეუძლია,V;ARGNO1P;COND,7,12
შეუძლია,V;ARGNO2P;COND,7,12
შეუძლია,V;ARGNO3P;COND,7,11
შეუძლია,V;ARGNO1S;SBJV;FUT,7,12
შეუძლია,V;ARGNO2S;SBJV;FUT,7,12
შეუძლია,V;ARGNO3S;SBJV;FUT,7,11
შეუძლია,V;ARGNO1P;SBJV;FUT,7,13
შეუძლია,V;ARGNO2P;SBJV;FUT,7,12
შეუძლია,V;ARGNO3P;SBJV;FUT,7,11
შეუძლია,V;ARGNO1S;IND;PST;PFV,7,7
შეუძლია,V;ARGNO2S;IND;PST;PFV,7,7
შეუძლია,V;ARGNO3S;IND;PST;PFV,7,6
შეუძლია,V;ARGNO1P;IND;PST;PFV,7,8
შეუძლია,V;ARGNO2P;IND;PST;PFV,7,8
შეუძლია,V;ARGNO3P;IND;PST;PFV,7,7
შეუძლია,V;ARGNO1S;OPT,7,8
შეუძლია,V;ARGNO2S;OPT,7,8
შეუძლია,V;ARGNO3S;OPT,7,6
შეუძლია,V;ARGNO1P;OPT,7,9
შეუძლია,V;ARGNO2P;OPT,7,8
შეუძლია,V;ARGNO3P;OPT,7,6
შეუძლია,V;ARGNO1S;IND;PRF,7,9
შეუძლია,V;ARGNO2S;IND;PRF,7,9
შეუძლია,V;ARGNO3S;IND;PRF,7,9
შეუძლია,V;ARGNO1P;IND;PRF,7,10
შეუძლია,V;ARGNO2P;IND;PRF,7,10
შეუძლია,V;ARGNO3P;IND;PRF,7,10
შეუძლია,V;ARGNO1S;IND;PST;PRF,7,10
შეუძლია,V;ARGNO2S;IND;PST;PRF,7,10
შეუძლია,V;ARGNO3S;IND;PST;PRF,7,10
შეუძლია,V;ARGNO1P;IND;PST;PRF,7,11
შეუძლია,V;ARGNO2P;IND;PST;PRF,7,11
შეუძლია,V;ARGNO3P;IND;PST;PRF,7,11
შეუძლია,V;ARGNO1S;SBJV;PRF,7,11
შეუძლია,V;ARGNO2S;SBJV;PRF,7,11
შეუძლია,V;ARGNO3S;SBJV;PRF,7,11
შეუძლია,V;ARGNO1P;SBJV;PRF,7,12
შეუძლია,V;ARGNO2P;SBJV;PRF,7,11
შეუძლია,V;ARGNO3P;SBJV;PRF,7,11
შეუძლია,V;V.MSDR;IPFV,7,7
ეშინია,V;ARGNO1S;IND;PRS,6,7
ეშინია,V;ARGNO2S;IND;PRS,6,7
ეშინია,V;ARGNO3S;IND;PRS,6,6
ეშინია,V;ARGNO1P;IND;PRS,6,8
ეშინია,V;ARGNO2P;IND;PRS,6,8
ეშინია,V;ARGNO3P;IND;PRS,6,7
ეშინია,V;ARGNO1S;IND;IPFV,6,8
ეშინია,V;ARGNO2S;IND;IPFV,6,8
ეშინია,V;ARGNO3S;IND;IPFV,6,7
ეშინია,V;ARGNO1P;IND;IPFV,6,9
ეშინია,V;ARGNO2P;IND;IPFV,6,9
ეშინია,V;ARGNO3P;IND;IPFV,6,8
ეშინია,V;ARGNO1S;SBJV;PRS,6,9
ეშინია,V;ARGNO2S;SBJV;PRS,6,9
ეშინია,V;ARGNO3S;SBJV;PRS,6,8
ეშინია,V;ARGNO1P;SBJV;PRS,6,10
ეშინია,V;ARGNO2P;SBJV;PRS,6,9
ეშინია,V;ARGNO3P;SBJV;PRS,6,8
ეშინია,V;ARGNO1S;IND;FUT,6,11
ეშინია,V;ARGNO2S;IND;FUT,6,11
ეშინია,V;ARGNO3S;IND;FUT,6,10
ეშინია,V;ARGNO1P;IND;FUT,6,12
ეშინია,V;ARGNO2P;IND;FUT,6,12
ეშინია,V;ARGNO3P;IND;FUT,6,11
ეშინია,V;ARGNO1S;COND,6,13
ეშინია,V;ARGNO2S;COND,6,13
ეშინია,V;ARGNO3S;COND,6,12
ეშინია,V;ARGNO1P;COND,6,14
ეშინია,V;ARGNO2P;COND,6,14
ეშინია,V;ARGNO3P;COND,6,13
ეშინია,V;ARGNO1S;SBJV;FUT,6,14
ეშინია,V;ARGNO2S;SBJV;FUT,6,14
ეშინია,V;ARGNO3S;SBJV;FUT,6,13
ეშინია,V;ARGNO1P;SBJV;FUT,6,15
ეშინია,V;ARGNO2P;SBJV;FUT,6,14
ეშინია,V;ARGNO3P;SBJV;FUT,6,13
ეშინია,V;ARGNO1S;IND;PRF,6,10
ეშინია,V;ARGNO2S;IND;PRF,6,10
ეშინია,V;ARGNO3S;IND;PRF,6,9
ეშინია,V;ARGNO1P;IND;PRF,6,11
ეშინია,V;ARGNO2P;IND;PRF,6,11
ეშინია,V;ARGNO3P;IND;PRF,6,10
ეშინია,V;ARGNO1S;IND;PST;PRF,6,11
ეშინია,V;ARGNO2S;IND;PST;PRF,6,11
ეშინია,V;ARGNO3S;IND;PST;PRF,6,10
ეშინია,V;ARGNO1P;IND;PST;PRF,6,12
ეშინია,V;ARGNO2P;IND;PST;PRF,6,12
ეშინია,V;ARGNO3P;IND;PST;PRF,6,11
ეშინია,V;ARGNO1S;SBJV;PRF,6,12
ეშინია,V;ARGNO2S;SBJV;PRF,6,12
ეშინია,V;ARGNO3S;SBJV;PRF,6,11
ეშინია,V;ARGNO1P;SBJV;PRF,6,13
ეშინია,V;ARGNO2P;SBJV;PRF,6,12
ეშინია,V;ARGNO3P;SBJV;PRF,6,11
ეშინია,V;V.MSDR;IPFV,6,4
უხარია,V;ARGNO1S;IND;PRS,6,7
უხარია,V;ARGNO2S;IND;PRS,6,7
უხარია,V;ARGNO3S;IND;PRS,6,6
უხარია,V;ARGNO1P;IND;PRS,6,8
უხარია,V;ARGNO2P;IND;PRS,6,8
უხარია,V;ARGNO3P;IND;PRS,6,7
უხარია,V;ARGNO1S;IND;IPFV,6,8
უხარია,V;ARGNO2S;IND;IPFV,6,8
უხარია,V;ARGNO3S;IND;IPFV,6,7
უხარია,V;ARGNO1P;IND;IPFV,6,9
უხარია,V;ARGNO2P;IND;IPFV,6,9
უხარია,V;ARGNO3P;IND;IPFV,6,8
უხარია,V;ARGNO1S;SBJV;PRS,6,9
უხარია,V;ARGNO2S;SBJV;PRS,6,9
უხარია,V;ARGNO3S;SBJV;PRS,6,8
უხარია,V;ARGNO1P;SBJV;PRS,6,10
უხარია,V;ARGNO2P;SBJV;PRS,6,9
უხარია,V;ARGNO3P;SBJV;PRS,6,8
უხარია,V;ARGNO1S;IND;FUT,6,11
უხარია,V;ARGNO2S;IND;FUT,6,11
უხარია,V;ARGNO3S;IND;FUT,6,10
უხარია,V;ARGNO1P;IND;FUT,6,12
უხარია,V;ARGNO2P;IND;FUT,6,12
უხარია,V;ARGNO3P;IND;FUT,6,11
უხარია,V;ARGNO1S;COND,6,13
უხარია,V;ARGNO2S;COND,6,13
უხარია,V;ARGNO3S;COND,6,12
უხარია,V;ARGNO1P;COND,6,14
უხარია,V;ARGNO2P;COND,6,14
უხარია,V;ARGNO3P;COND,6,13
უხარია,V;ARGNO1S;SBJV;FUT,6,14
უხარია,V;ARGNO2S;SBJV;FUT,6,14
უხარია,V;ARGNO3S;SBJV;FUT,6,13
უხარია,V;ARGNO1P;SBJV;FUT,6,15
უხარია,V;ARGNO2P;SBJV;FUT,6,14
უხარია,V;ARGNO3P;SBJV;FUT,6,13
უხარია,V;ARGNO1S;IND;PRF,6,10
